file,line,column,found_text,suggestion,context
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","9","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","11","51","Razzlab","RazzLab","""context"": ""</script><title>Create a Razz - Razzlab</title></head>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","17","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","19","40","Razzlab","RazzLab","""context"": ""<title>Create Razz · Razzlab</title>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","25","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","27","75","Razzlab","RazzLab","""context"": ""<span class=\""text-purple-600 text-2xl font-extrabold\"">Razzlab</span>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","33","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","35","52","Razzlab","RazzLab","""context"": ""<h3 class=\""font-semibold mb-2\"">Razzlab</h3>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","41","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","43","51","Razzlab","RazzLab","""context"": ""</script><title>Data Deletion - Razzlab</title></head>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","49","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","51","42","Razzlab","RazzLab","""context"": ""<title>Data Deletion · Razzlab</title>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","57","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","59","75","Razzlab","RazzLab","""context"": ""<span class=\""text-purple-600 text-2xl font-extrabold\"">Razzlab</span>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","65","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","67","46","Razzlab","RazzLab","""context"": ""If you wish to remove your Razzlab account and delete all associated personal data,"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","73","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","75","57","Razzlab","RazzLab","""context"": ""from the address associated with your Razzlab account. In your message, include"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","81","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","83","52","Razzlab","RazzLab","""context"": ""<h3 class=\""font-semibold mb-2\"">Razzlab</h3>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","89","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","91","48","Razzlab","RazzLab","""context"": ""</script><title>Fee Policy - Razzlab</title></head>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","97","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","99","58","Razzlab","RazzLab","""context"": ""<body><h1>Fee Policy</h1><p>Details of Razzlab's fee structure.</p></body>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","105","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","107","39","Razzlab","RazzLab","""context"": ""<title>Fee Policy · Razzlab</title>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","113","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","115","75","Razzlab","RazzLab","""context"": ""<span class=\""text-purple-600 text-2xl font-extrabold\"">Razzlab</span>"""
"/Users/erencihangir/Desktop/RazzLab/casing_report.json","121","22","Razzlab","RazzLab","""found_text"": ""Razzlab"","
